Data: Reproducible,Data: Replicable,Methods: Reproducible,Methods: Replicable,Reproducibility,Replicability,Year
N/A,N/A,N/A,Yes,N/A,N/A,2014
No,No,No,Yes,None,Limited,2014
No,Yes,No,Yes,None,Limited,2014
Yes,Yes,No,Yes,Limited,Full,2013
No,Yes,No,Yes,None,Full,2013
No,Yes,No,Yes,None,Full,2010
N/A,N/A,N/A,N/A,N/A,N/A,2012
No,Yes,No,Yes,None,Full,2011
No,No,No,No,None,None,2012
Yes,Yes,No,Yes,Limited,Full,2013
No,No,No,No,None,None,2013
No,Yes,No,Yes,None,Full,2013
No,No,No,No,None,None,2013
No,Yes,No,Yes,None,Full,2012
No,No,Yes,Yes,Limited,Limited  ,2013
No,No,No,Yes,None,Limited ,2015
No,Yes,No,Yes,None,Full,2010
No,No,No,No,None,None,2008
No,No,No,Yes,None,Limited,2010
No,Yes,No,Yes,None,Full,2010
No,No,No,Yes,None,Limited,2011
No,Yes,No,Yes,None,Full,2011
No,No,No ,Yes,None,Limited,2013
No,No,No,Yes,None,Limited,2012
No,No,No,Yes,None,Limited,2013
N/A,N/A,N/A,N/A,N/A,N/A,2012
N/A,N/A,No,No,N/A,N/A,2012
No,No,No,No,None,None,2013
No,No,No,No,None,None,2011
No,No,No,No,None,None,2011
No,No,No,Yes,None,Limited,2012
No,No,No,No,None,None,2013
No,Yes,No,No,None,Limited,2012
No,No,No,No,None,None,2010
N/A,N/A,No,No,N/A,N/A,2012
No,No,No,No,None,None,2013
No,Yes,No,Yes,None,Full,2012
No,No,No,No,None,None,2013
N/A,N/A,No,No,N/A,N/A,2013
No,No,No,No,None,None,2011
N/A,N/A,N/A,N/A,N/A,N/A,2011
No,Yes,Yes,Yes,Limited,Full,2013
No,No,No,Yes,None,Limited,2012
No, Yes,No,Yes,None,Full,2012
No,No,No,No,None,None,2013
No,No,No,No,None,None,2011
N/A,N/A,N/A,N/A,N/A,N/A,2011
No,No,No,No,None,None,2010
No, Yes,No,Yes,None,Full,2013
N/A,N/A,No,No,N/A,N/A,2012
N/A,N/A,No,No,N/A,N/A,2013
No,No,Yes,Yes,Limited,Limited,2013
No,No,No,Yes,None,Limited,2011
No,Yes,No,Yes,None,Full,2012
N/A,N/A,N/A,N/A,N/A,N/A,2008
N/A,N/A,N/A,N/A,N/A,N/A,2008
No,Yes,No,Yes,None,Full,2009
No,Yes,No,Yes,None,Full  ,2009
No,Yes ,No,Yes,None,Full,2010
N/A,N/A,N/A,N/A,N/A,N/A,2013
No,Yes,No,Yes,None,Full,2013
No,No,No,Yes,None,Limited  ,2014
Yes,Yes,No,Yes,Limited,Full,2014
No,Yes,No,Yes,None,Full,2014
No,Yes,No,Yes,None,Full,2014
No,Yes,No,Yes,None,Full,2014
No,No,No,No,None,None,2014
No,No,No,Yes,None,Limited,2014
No,Yes,No,Yes,None,Full,2015
