Reproducibility,Replicability,Year
N/A,N/A,2014
None,Limited,2014
None,Limited,2014
Limited,Full,2013
None,Full,2013
None,Full,2010
N/A,N/A,2012
None,Full,2011
None,None,2012
Limited,Full,2013
None,None,2013
None,Full,2013
None,None,2013
None,Full,2012
Limited,Limited  ,2013
None,Limited ,2015
None,Full,2010
None,None,2008
None,Limited,2010
None,Full,2010
None,Limited,2011
None,Full,2011
None,Limited,2013
None,Limited,2012
None,Limited,2013
N/A,N/A,2012
N/A,N/A,2012
None,None,2013
None,None,2011
None,None,2011
None,Limited,2012
None,None,2013
None,Limited,2012
None,None,2010
N/A,N/A,2012
None,None,2013
None,Full,2012
None,None,2013
N/A,N/A,2013
None,None,2011
N/A,N/A,2011
Limited,Full,2013
None,Limited,2012
None,Full,2012
None,None,2013
None,None,2011
N/A,N/A,2011
None,None,2010
None,Full,2013
N/A,N/A,2012
N/A,N/A,2013
Limited,Limited,2013
None,Limited,2011
None,Full,2012
N/A,N/A,2008
N/A,N/A,2008
None,Full,2009
None,Full  ,2009
None,Full,2010
N/A,N/A,2013
None,Full,2013
None,Limited  ,2014
Limited,Full,2014
None,Full,2014
None,Full,2014
None,Full,2014
None,None,2014
None,Limited,2014
None,Full,2015
